author,korean_name,matched_user,similarity,affiliations
Byeong C. Kim,김병C,김병국,0.6666666666666666,"['Department of Neurology, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju 61469, Korea', 'Department of Neurology, Gwangju-Jeonnam Regional Cerebrovascular Center, Chonnam National University Medical School, Chonnam National University Hospital, 42 Jebongro, Dong-gu, Gwangju 61469, Korea', 'Department of Neurology, Chonnam National University Medical School, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Neurology, Chonnam National University Medical School, Gwangju 61469, Korea', 'Department of Neurology, Chonnam National University Hospital, Gwangju 61469, Korea', 'Department of Neurology, Chonnam National University Medical School, Gwangju 61469, Korea', 'Department of Neurology, Chonnam National University Medical School, Gwangju, South Korea', 'NO AFFILIATION LIST', 'Department of Neurology, Chonnam National University Medical School, Gwangju, Republic of Korea', 'NO AFFILIATION LIST', 'Department of Neurology, Chonnam National University Medical School and Hospital, Gwangju, South Korea', 'Department of Neurology, Chonnam National University Hospital, Gwangju, South Korea', 'Department of Neurology, Chonnam National University Medical School, Gwangju, South Korea', 'Department of Neurology, Chonnam National University Medical School and Hospital, Gwangju, South Korea', 'Department of Neurology, Chonnam National University Medical School and Hospital, Gwangju, South Korea', 'National Research Center for Dementia, Gwangju, South Korea']"
Byeong Jo Chun,천병조,천보영,0.3333333333333333,"['Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Chonnam National University Hospital, Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Byeongjo Chun,천병조,천보영,0.3333333333333333,"['Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, South Korea']"
Byung Chan Lee,이병찬,이병찬,1.0,"['Department of Radiology, Chonnam National University Hwasun Hospital, Hwasun-gun, Jeollanam-do, Republic of Korea', 'Department of Radiology, Chonnam National University Hwasun Hospital and Chonnam National University Medical School, Hwasun-gun, Jeollanam-do, Republic of Korea', 'Department of Radiology, Chonnam National University Hwasun Hospital, Hwasun-gun, Jeollanam-do, Korea', 'Department of Radiology, Chonnam National University Medical School and Chonnam National University Hwasun Hospital, Hwasun, Republic of Korea']"
Byung Jo Chun,천병조,천보영,0.3333333333333333,"['Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, South Korea']"
Byung Kook Lee,이병국,이병국,1.0,"['Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, 160 Baekseo-ro, Dong-gu, Gwangju 61469, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, South Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Chonnam National Univesity Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, 42 Jebong-ro, Donggu, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, 42 Jebong-ro, Dong-gu, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, 160 Baekseo-ro, Dong-gu, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Korea']"
Byunggook Kim,김병국,김병국,1.0,"['Department of Oral Medicine, School of Dentistry, Chonnam National University, 77, Yongbong-ro, Buk-gu, Gwangju 61186, Republic of Korea', 'Department of Oral Medicine, School of Dentistry, Chonnam National University, Gwangju 61186, Republic of Korea', 'Department of Oral Medicine, School of Dentistry, Chonnam National University, Gwangju 61186, Korea']"
CHAN-MUK IM,임찬묵,임찬묵,1.0,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Cha won Ko,고차원,고차원,1.0,"['Chonnam National University Hospital, Gwangju, South Korea']"
Chae-Hee Park,박채희,박희경,0.6666666666666666,"['Department of Orthodontics, School of Dentistry, Chonnam National University, Gwangju, Korea']"
Chae-Hyeon Jeon,전채현,전홍채,0.6666666666666666,"['Department of Laboratory Medicine, Chonnam National University Hospital and Medical School, Gwangju, South Korea']"
Chaeyong Jung,정채용,정채용,1.0,"['Department of Anatomy, Chonnam National University Medical School, Gwangju, South Korea']"
Chaeyung Oh,오채영,오채영,1.0,"['Department of Surgery, Chonnam National University Medical School, Gwangju, Korea']"
Chan Jong Kim,김찬종,김찬종,1.0,"['Department of Pediatrics, Chonnam National University Medical School & Children’s Hospital, Gwangju, Korea']"
Chan Park,박찬,박찬,1.0,"['Department of Prosthodontics, School of Dentistry, Chonnam National University, Gwangju 61186, Korea', 'Department of Radiology, Chonnam National University Hwasun Hospital, Hwasun-gun, Jeollanam-do, Republic of Korea', 'Department of Prosthodontics, School of Dentistry, Chonnam National University, Gwangju 61186, Republic of Korea', 'Department of Radiology, Chonnam National University Hwasun Hospital and Chonnam National University Medical School, Hwasun-gun, Jeollanam-do, Republic of Korea', 'Department of Radiology, Chonnam National University Hospital, Gwangju, Korea', 'Department of Prosthodontics, School of Dentistry, Dental Science Research Institute, Chonnam National University, Gwangju 500-757, Korea', 'Department of Prosthodontics, School of Dentistry, Chonnam National University, 33 Yongbong-ro, Buk-gu, Gwangju 61186, Korea', 'Department of Prosthodontics, School of Dentistry, Chonnam National University, Gwangju 61186, Republic of Korea']"
Chan-Joong Bae,배찬중,배소희,0.3333333333333333,"['Department of Infectious Diseases, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Infectious Diseases, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Chan-Muk Im,임찬묵,임찬묵,1.0,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Chana Myeong,명차나,명리나,0.6666666666666666,"['Department of Internal Medicine, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Chang Hwan Park,박창환,박창환,1.0,"['Division of Gastroenterology, Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Chonnam National University Medical School, Gwangju']"
Chang Hyun Byon,변창현,변지화,0.3333333333333333,"['Department of Internal Medicine, Chonnam National University Medical School, 42 Jebongro, Gwangju 61469, Korea']"
Chang Hyun Kim,김창현,김창현,1.0,"['Department of Surgery, Chonnam National University Hwasun Hospital, Chonnam National University Medical School, Hwasun, Korea', 'NO AFFILIATION LIST', 'Department of Surgery, Chonnam National University Hwasun Hospital, Chonnam National University Medical School, Hwasun, Korea', 'Department of Surgery, Chonnam National University Hwasun Hospital and Medical School, 322 Seoyang-ro, Hwasun-eup, Hwasun-gun, Jeonnam 519-763, Korea', 'Department of Surgery, Chonnam National University Hwasun Hospital, Chonnam National University College of Medicine, Gwangju, South Korea']"
Chang Kyun Choi,최창균,최명균,0.6666666666666666,"['Institute for Biomedical Science, Chonnam National University Hwasun Hospital, Jeollanam-do 58128, Republic of Korea', 'Department of Preventive Medicine, Chonnam National University Medical School, 264, Seoyang-ro, Hwasun 58128, Republic of Korea']"
Chang Seong Kim,김창성,김창성,1.0,"['Department of Internal Medicine, Chonnam National University Hospital, 42 Jebongro, Gwangju, 61469, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju 61469, Korea', 'NO AFFILIATION LIST', 'Department of Internal Medicine, Chonnam National University Hospital, Gwangju, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Chonnam National University Hospital, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Hospital, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Hospital, 42 Jebongro, Gwangju 61469, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, 42 Jebongro, Gwangju 61469, Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju 61469, Korea', 'Department of Internal Medicine, Chonnam National University Hospital, Gwangju', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Department of Internal Medicine, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School, 160 Baekseo-ro, Dong-gu, Gwangju 61469, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Chonnam National University Hospital, Gwangju, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, South Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, 61469, South Korea', 'Department of Internal Medicine, Chonnam National University Hospital, Gwangju, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, 42 Jebongro, Gwangju 61469, Korea', 'Department of Internal Medicine, Chonnam National University Hospital, 42 Jebongro, Gwangju 61469, Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Chonnam National University Hospital, Gwangju 64169, Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju 64169, Korea', 'Department of Internal Medicine, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju 61469, Korea', 'Departments of Internal Medicine, Chonnam National University Medical School, 160, Baekseo‑ro, Dong‑gu, Gwangju 61469, Republic of Korea']"
Chang-Hwan Park,박창환,박창환,1.0,"['Division of Gastroenterology, Department of Internal Medicine, Chonnam National University Medical School, Gwangju', 'Division of Gastroenterology, Department of Internal Medicine, Chonnam National University School of Medicine, Gwangju, South Korea']"
Chang-Hyun Lee,이창현,이미현,0.6666666666666666,"['Department of Orthopaedic Surgery, Chonnam National University Medical School and Hospital, Hwasun, Republic of Korea', 'Department of Orthopedic Surgery, Chonnam National University Medical School and Hospital, 42 Jebong-ro, Dong-gu, Gwangju 61469, Korea']"
Changho Lee,이창호,이창호,1.0,"['Department of Nuclear Medicine, Chonnam National University Hwasun Hospital, Jeonnam, Republic of Korea', 'Department of Nuclear Medicine, Chonnam National University Medical School, Jeonnam, Republic of Korea', 'Department of Nuclear Medicine, Chonnam National University Medical School & Hwasun Hospital, Hwasun, Jeollanamado, South Korea', 'Department of Nuclear Medicine, Chonnam National University Medical School & Hwasun Hospital, Hwasun, Chonnam, Republic of Korea', 'Department of Artificial Intelligence Convergence, Chonnam National University, Gwangju, Republic of Korea', 'Department of Artificial Intelligence Convergence, Chonnam National University, Gwangju 61186, Korea', 'Department of Nuclear Medicine, Chonnam National University Medical School & Hwasun Hospital, Hwasun 58128, Korea']"
Changhwan Park,박창환,박창환,1.0,"['Division of Gastroenterology, Department of Internal Medicine, Chonnam National University Hospital and Medical School, Gwangju 61706, Republic of Korea']"
Changjong Moon,문창종,문종빈,0.6666666666666666,"['Department of Veterinary Anatomy, College of Veterinary Medicine and BK21 FOUR Program, Chonnam National University, Gwangju 61186, Korea']"
Cheol-Kyu Park,박철규,박철규,1.0,"['Department of Internal Medicine, Chonnam National University Medical School and Hwasun Hospital, Jeonnam, Republic of Korea', 'Chonnam National University Medical School, Gwangju, Republic of Korea', 'Lung and Esophageal Cancer Clinic, Chonnam National University Hwasun Hospital, Joennam, Republic of Korea']"
Cho H. Lee,이초희,이주희,0.6666666666666666,"['Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital, Chonnam National University School of Medicine, Gwangju, Korea']"
Cho-Hee Hwang,황초희,황초희,1.0,"['Regional Cardiocerebrovascular Center, Chonnam National University Hospital, Gwangju, Korea']"
Chol Kyoon Cho,조철균,조철균,1.0,"['Department of Surgery, Chonnam National University Medical School, Gwangju, Korea']"
Chong Eun Lee,이정은,이정은,1.0,"['Department of Radiology, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Korea']"
Choong-Ho Choi,최충호,최충호,1.0,"['Department of Preventive and Public Health Dentistry, Chonnam National University School of Dentistry, Gwangju 61186, Korea', 'Dental Science Research Institute, Chonnam National University, Gwangju 61186, Korea', 'Department of Preventive and Public Health Dentistry, Chonnam National University School of Dentistry, Gwangju, Korea']"
Chul Ho Jang,장철호,장철호,1.0,"['Department of Otolaryngology, Chonnam National University Medical School, Gwangju 61469, Korea']"
Chul Hong Kim,김철홍,김철홍,1.0,"['Department of Obstetrics and Gynecology, Chonnam National University Medical School, 61186 Gwangju, Republic of Korea']"
Chul Won Lee,이철원,이승철,0.6666666666666666,"['Department of Chemistry, Chonnam National University, Gwangju, South Korea']"
Chung Man Sung,성충만,성충만,1.0,"['Department of Otolaryngology-Head and Neck Surgery and Department of Anatomy, Chonnam National University Medical School, Gwangju, South Korea', 'Chonnam National University Hospital, Gwangju, South Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School and Chonnam National University Hospital, Gwangju, Republic of Korea']"
D.-J. Park,박대준,박준영,0.6666666666666666,"['Division of Rheumatology, Department of Internal Medicine, Chonnam National University Medical School and Hospital, Gwangju, Republic of Korea']"
DAE-SEONG MYUNG,명대성,명대성,1.0,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Da Woon Sim,심다운,심다운,1.0,"['Division of Allergy, Asthma, and Clinical Immunology, Department of Internal Medicine, Chonnam National University Medical School, Chonnam National University Hospital, Gwangju, Korea', 'Department of Allergy and Clinical Immunology, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, South Korea', 'Department of Allergy and Clinical Immunology, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Korea', 'Division of Allergy, Asthma, and Clinical Immunology, Department of Internal Medicine, Chonnam National University Medical School & Chonnam National University Hospital, Gwangju, Korea']"
Da-Nal Moon,문다날,문다예,0.6666666666666666,"['Department of Orthodontics, School of Dentistry, Chonnam National University']"
Dae Sung Park,박대성,박대성,1.0,"['Cardiovascular Research Center, Chonnam National University Hospital, Gwangju, Korea']"
Dae Yong Hyun,현대용,현대용,1.0,"['Department of Cardiology, Chonnam National University Hospital, Gwangju, Republic of Korea']"
Dae Young Hyun,현대영,현대용,0.6666666666666666,"['Department of Cardiology, Chonnam National University Hospital, Gwangju, South Korea', 'Department of Cardiology, Chonnam National University Hospital, Gwangju, Korea', 'Regional Cardiocerebrovascular Center, Chonnam National University Hospital, Gwangju, Korea', 'Department of Cardiology, Chonnam National University Hospital, Gwangju, Republic of South Korea', 'Department of Cardiology, Chonnam National University School of Medicine, Chonnam National University Hospital, Gwangju 61469, Korea', 'Department of Cardiology, Chonnam National University Hospital, Gwangju, Korea', 'Department of Cardiology, Chonnam National University Hospital, Gwangju, Korea']"
Dae-Seong Myung,명대성,명대성,1.0,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School, 8 Hak-Dong, Dong-ku, Gwangju 501-757, Republic of Korea']"
Dae-Young Lim,임대영,임영관,0.6666666666666666,"['Department of Occupational and Environmental Medicine, Chonnam National University Medical School and Chonnam National University Hwasun Hospital, Hwasun, Republic of Korea']"
Dahae Lee,이다해,이다해,1.0,"['Chonnam National University Hospital, Gwangju 61186, Republic of Korea']"
Dakyung Choi,최다경,최덕경,0.6666666666666666,"['Department of Conservative Dentistry, School of Dentistry, Dental Science Research Institute, Chonnam National University, Gwangju 500-757, Korea']"
Danbi Jo,조단비,조하영,0.3333333333333333,"['Department of Anatomy, Chonnam National University Medical School, Seoyangro 264, Hwasun 58128, Korea', 'Biomedical Science Graduate Program (BMSGP), Chonnam National University, Seoyangro 264, Hwasun 58128, Korea']"
Deok Ju,주덕,주희,0.5,"['Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Nursing, Chonnam National University Hospital, Gwangju 61469, Korea', 'Department of Nursing, Chonnam National University Hospital, Gwangju, South Korea']"
Deok Kim,김덕,김신,0.5,"['Department of Radiation Oncology, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Radiation Oncology, Chonnam National University Medical School, 160 Baekseo-ro, Gwangju 61469, Korea']"
Deok-Hwan Yang,양덕환,양덕환,1.0,"['Department of Hematology-Oncology, Chonnam National University Hwasun Hospital, Chonnam National University Medical School, Hwasun, Korea', 'Department of Hematology-Oncology, Chonnam National University School of Medicine, Hwasun, Jeollanam-do, South Korea', 'Genomic Research Center for Hematopoietic Diseases, Chonnam National University School of Medicine, Hwasun, Jeollanam-do, South Korea', 'Department of Hematology-Oncology, Chonnam National University Hwasun Hospital, Chonnam National University, Jeollanam-do, Republic of Korea', 'NO AFFILIATION LIST', 'Department of Hematology-Oncology, Chonnam National University Hwasun Hospital and Chonnam National University Medical School, South Korea']"
Do Gyeong Lim,임도경,임도경,1.0,"['Department of Urology, Chonnam National University Medical School, Gwangju, Korea', 'Department of Urology, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Do Wan Kim,김도완,김도완,1.0,"['Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju 61469, Republic of Korea', 'Cardiovascular and Respiratory Research Team, Chonnam National University Hospital, Gwangju, South Korea', 'Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital and Medical School, Gwangju, South Korea', 'Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju 61469, Korea', 'Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Korea', 'Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital, Chonnam National University Medical School, 42 Jebong-Ro, Dong-gu, Gwangju 61469, Republic of Korea']"
Do Won Kim,김도원,김채원,0.6666666666666666,"['Chonnam National University Medical School, Gwangju, Republic of Korea']"
Do-Wan Kim,김도완,김도완,1.0,"['Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital and Medical School, 160 Baekseo-ro, Dong-gu, Gwangju 61469, Republic of Korea (South Korea)', 'Department of Thoracic and Cardiovascular Surgery, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju 61469, Korea']"
Dong Deuk Kwon,권동득,권동득,1.0,"['Department of Urology, Chonnam National University Medical School, Hwasun, Korea', 'Department of Urology, Chonnam National University Medical School, Gwangju, Korea', 'Department of Urology, Chonnam National University Medical School, Gwangju, Korea', 'Department of Urology, Chonnam National University Medical School, Gwangju, Republic of Korea']"
Dong Hoon Lee,이동훈,이동훈,1.0,"['Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Hwasun Hospital, Chonnam National University Medical School, Hwasun, South Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School, Hwasun, South Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School & Hwasun Hospital, Hwasun, South Korea', 'Chonnam National University Medical School & Hwasun Hospital, Department of Otolaryngology-Head and Neck Surgery, Hwasun, South Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School & Hwasun Hospital, Hwasun, South Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School & Hwasun Hospital, Hwasun, South Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Hwasun Hospital, Hwasun, South Korea', 'Department of Emergency Medicine, Chung-Ang University, College of Medicine, Seoul, Republic of Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School & Hwasun Hospital, Jeonnam, South Korea', 'Department of Otolaryngology-Head and Neck Surgery, Chonnam National University Medical School & Hwasun Hospital, Hwasun, South Korea']"
Dong Hun Lee,이동훈,이동훈,1.0,"['Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, 61469 Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, 42 Jebong-ro, Donggu, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Korea', 'Seoul National University College of Medicine, Seoul, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, 42 Jebong-ro, Dong-gu, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, 160 Baekseo-ro, Dong-gu, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Medical School, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Korea']"
Dong Hyeok Cho,조동혁,조동혁,1.0,"['Division of Endocrinology and Metabolism, Department of Internal Medicine, Chonnam National University Medical School, 8 Hak-Dong, Dong-Gu, Gwangju 501-757, Republic of Korea']"
Dong Hyun Kim,김동현,김동현,1.0,"['Department of Internal Medicine, Chonnam National University Medical School, Gwangju', 'Division of Gastroenterology and Hepatology, Department of Internal Medicine, Chonnam National University Hospital, Gwangju, Korea', 'Division of Gastroenterology, Department of Internal Medicine, Chonnam National University Medical School, Gwangju 61469, Republic of Korea', 'Department of Internal Medicine, Chonnam National University Medical School, 42 Jebongro, Gwangju 61469, Korea']"
Dong Im Cho,조동임,조동임,1.0,"['Biomedical Research Institute, Chonnam National University Hospital, Gwangju 61469, Korea']"
Dong Jin Chung,정동진,정동진,1.0,"['Division of Endocrinology and Metabolism, Department of Internal Medicine, Chonnam National University Medical School, 8 Hak-Dong, Dong-Gu, Gwangju 501-757, Republic of Korea']"
Dong Ki Kim,김동기,김동기,1.0,"['Department of Emergency Medicine, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, 42 Jebong-ro, Donggu, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University, Chonnam National University Hospital, Gwangju, Republic of Korea', 'Department of Emergency Medicine, Chonnam National University Hospital, Chonnam National University Medical School, Gwangju, Korea']"
